lon,lat,alt,minute,hour,day,month,year,T_amb,wind_speed,wind_dir,humidity,irradiance,cloud_cover,pressure,pv_height,pitch,roll,yaw,T_operating,eta,eta_mc_sigma
     -112.0700,       33.4500,      331.0000,        0.0000,       13.0000,      200.0000,        7.0000,     2024.0000,      241.6592,        9.4516,      185.7035,        0.3273,      416.1844,        0.2905,    83061.4998,        3.8139,        6.3284,       14.0996,       57.4547,  245.1608,0.242391,  1.1607E-05
       -0.1300,       51.5100,       11.0000,        0.0000,        9.0000,       80.0000,        3.0000,     2024.0000,      264.3268,       21.5586,      200.3793,        0.2251,      711.0295,        0.0885,    78491.6968,        3.2012,       61.2043,       36.2136,      116.0067,  264.3268,0.227059,  2.5374E-05
      -18.0000,       65.0000,       52.0000,        0.0000,       10.0000,      355.0000,       12.0000,     2024.0000,      234.9712,       12.1467,       72.3772,        0.7393,      237.8842,        0.5211,    78509.6659,        2.0932,       27.4977,      -10.5013,     -156.7909,  234.9712,0.250543,  1.0411E-05
     -122.0000,       37.5000,       25.0000,        0.0000,       12.0000,      172.0000,        6.0000,     2024.0000,      284.9098,        5.6498,      335.9757,        0.7048,      957.4395,        0.5073,    65321.3679,        1.1251,       41.8786,       26.8520,      159.4669,  290.5517,0.206079,  4.9786E-06
      103.8200,        1.3500,       15.0000,       30.0000,       14.0000,      120.0000,        4.0000,     2024.0000,      240.0155,        6.9719,      218.4270,        0.9006,     1239.6181,        0.8193,    97282.2063,        4.6170,       55.3314,       12.4984,       13.9608,  241.2525,0.245518,  8.1590E-06
       -0.1300,       51.5100,       11.0000,        0.0000,        9.0000,       80.0000,        3.0000,     2024.0000,      241.5005,       22.6147,      185.7968,        0.2435,     1197.8103,        0.1129,    73324.7224,        2.6264,       19.3808,      -34.6459,      -13.0943,  244.9832,0.242533,  2.1028E-05
      -18.0000,       65.0000,       52.0000,        0.0000,       10.0000,      355.0000,       12.0000,     2024.0000,      268.0621,        6.8656,      156.8314,        0.5200,     1150.3977,        0.4820,    89706.0553,        1.3927,       24.4861,        9.8183,     -150.2311,  268.0621,0.224070,  5.3575E-06
       55.3000,       25.2000,        5.0000,        0.0000,       10.0000,      280.0000,       10.0000,     2024.0000,      280.0300,        9.8964,      285.2251,        0.6633,      697.7116,        0.3230,    95884.6828,        4.3547,        4.0961,       40.1170,      116.1666,  283.1424,0.212006,  1.2715E-05
      -18.0000,       65.0000,       52.0000,        0.0000,       10.0000,      355.0000,       12.0000,     2024.0000,      259.1749,       24.6562,      324.1394,        0.5740,     1224.7473,        0.5568,   100868.5751,        2.3150,       79.7087,      -32.5399,     -125.5383,  259.1749,0.231180,  1.8267E-05
     -122.0000,       37.5000,       25.0000,        0.0000,       12.0000,      172.0000,        6.0000,     2024.0000,      242.3840,       23.8371,      301.7227,        0.8960,       33.2093,        0.2406,    85579.6609,        3.1617,       13.4608,       10.4116,      134.5621,  242.5111,0.244511,  2.2963E-05
