value
-122.00  37.50   25.0
  -0.13  51.51   11.0
-112.07  33.45  331.0
 151.21 -33.87   39.0
  55.30  25.20    5.0
 139.69  35.69   40.0
 -87.63  41.88  181.0
 103.82   1.35   15.0
  28.05 -26.20 1753.0
 -46.63 -23.55  760.0
-122.00  37.50   25.0
  -0.13  51.51   11.0
-112.07  33.45  331.0
 151.21 -33.87   39.0
  55.30  25.20    5.0
 139.69  35.69   40.0
 -87.63  41.88  181.0
 103.82   1.35   15.0
  28.05 -26.20 1753.0
 -46.63 -23.55  760.0
-122.00  37.50   25.0
  -0.13  51.51   11.0
-112.07  33.45  331.0
 151.21 -33.87   39.0
  55.30  25.20    5.0
 139.69  35.69   40.0
 -87.63  41.88  181.0
 103.82   1.35   15.0
  28.05 -26.20 1753.0
 -46.63 -23.55  760.0
-122.00  37.50   25.0
  -0.13  51.51   11.0
-112.07  33.45  331.0
 151.21 -33.87   39.0
  55.30  25.20    5.0
 139.69  35.69   40.0
 -87.63  41.88  181.0
 103.82   1.35   15.0
  28.05 -26.20 1753.0
 -46.63 -23.55  760.0
-122.00  37.50   25.0
  -0.13  51.51   11.0
-112.07  33.45  331.0
 151.21 -33.87   39.0
  55.30  25.20    5.0
 139.69  35.69   40.0
 -87.63  41.88  181.0
 103.82   1.35   15.0
  28.05 -26.20 1753.0
 -46.63 -23.55  760.0
