value
 0  6  15  1 2024
 0  9  46  2 2024
 0 12  75  3 2024
 0 15 105  4 2024
 0 10 135  5 2024
 0 13 172  6 2024
 0 11 202  7 2024
 0 14 228  8 2024
 0  9 266  9 2024
 0 16 299 10 2024
 0  8 325 11 2024
 0 12 355 12 2024
 0  6  15  1 2024
 0  9  46  2 2024
 0 12  75  3 2024
 0 15 105  4 2024
 0 10 135  5 2024
 0 13 172  6 2024
 0 11 202  7 2024
 0 14 228  8 2024
 0  9 266  9 2024
 0 16 299 10 2024
 0  8 325 11 2024
 0 12 355 12 2024
 0  6  15  1 2024
 0  9  46  2 2024
 0 12  75  3 2024
 0 15 105  4 2024
 0 10 135  5 2024
 0 13 172  6 2024
 0 11 202  7 2024
 0 14 228  8 2024
 0  9 266  9 2024
 0 16 299 10 2024
 0  8 325 11 2024
 0 12 355 12 2024
 0  6  15  1 2024
 0  9  46  2 2024
 0 12  75  3 2024
 0 15 105  4 2024
 0 10 135  5 2024
 0 13 172  6 2024
 0 11 202  7 2024
 0 14 228  8 2024
 0  9 266  9 2024
 0 16 299 10 2024
 0  8 325 11 2024
 0 12 355 12 2024
 0  6  15  1 2024
 0  9  46  2 2024
